r[ang],RHF(6-31g),UHF(6-31g),RHF(cc-pVDZ),UHF(cc-pVDZ),B3LYP(cc-pVDZ),UB3LYP(cc-pVDZ),CISD(cc-pVDZ)
4.5,-398.06099,-398.13097,-398.09011,-398.16161,-398.97269,-399.11402,NaN
4.4,-398.06655,-398.13226,-398.09563,-398.16262,-398.97507,-399.11412,NaN
4.3,-398.07262,-398.13371,-398.10165,-398.1637,-398.97776,-399.1142,NaN
4.2,-398.07923,-398.13537,-398.1082,-398.16485,-398.98079,-399.11432,NaN
4.1,-398.08643,-398.13727,-398.11533,-398.16608,-398.98417,-399.11447,NaN
4,-398.09428,-398.13948,-398.12309,-398.16742,-398.98796,-399.11466,NaN
3.9,-398.10282,-398.14209,-398.13153,-398.16887,-398.99223,-399.11491,NaN
3.8,-398.11209,-398.14518,-398.14071,-398.17045,-398.99701,-399.11525,NaN
3.7,-398.12217,-398.14891,-398.15068,-398.17219,-399.00237,-399.11569,NaN
3.6,-398.13309,-398.15348,-398.1615,-398.17411,-399.00835,-399.11624,NaN
3.5,-398.14493,-398.15915,-398.17322,-398.17623,-399.01503,-399.11695,NaN
3.4,-398.15774,-398.16631,-398.18593,-398.1786,-399.02249,-399.11788,NaN
3.3,-398.17158,-398.17548,-398.19967,-398.18123,-399.0308,-399.11908,NaN
3.2,-398.1865,-398.18742,-398.2145,-398.18415,-399.04003,-399.12061,NaN
3.1,-398.20275,-398.20275,-398.23065,-398.18739,-399.05028,-399.12257,NaN
3,-398.22009,-398.22009,-398.24794,-398.19094,-399.06166,-399.12512,-398.5074597
2.9,-398.23877,-398.23877,-398.26662,-398.19482,-399.07425,-399.12841,-398.5182381
2.8,-398.25882,-398.25882,-398.28675,-398.19898,-399.08817,-399.13268,-398.5303445
2.7,-398.28029,-398.28029,-398.30842,-398.20335,-399.10359,-399.13833,-398.5439429
2.6,-398.30322,-398.30322,-398.33171,-398.20783,-399.1206,-399.14578,-398.5591803
2.5,-398.32761,-398.32761,-398.35672,-398.21226,-399.13928,-399.15557,-398.5762108
2.4,-398.35344,-398.35344,-398.38351,-398.21641,-399.15973,-399.16838,-398.5951868
2.3,-398.38065,-398.38065,-398.41213,-398.21997,-399.18199,-399.185,-398.6162487
2.2,-398.40915,-398.40915,-398.44259,-398.22254,-399.20606,-399.20624,-398.6395005
2.1,-398.43877,-398.43877,-398.47482,-398.22359,-399.23191,-399.23191,-398.6649649
2,-398.46926,-398.46926,-398.50859,-398.22244,-399.25932,-399.25932,-398.6925266
1.9,-398.50025,-398.50025,-398.54349,-398.21823,-399.28794,-399.28794,-398.7218574
1.8,-398.53116,-398.53116,-398.57885,-398.20988,-399.31713,-399.31713,-398.7523235
1.7,-398.56111,-398.56111,-398.61354,-398.19613,-399.34589,-399.34589,-398.7828517
1.6,-398.58863,-398.58863,-398.64588,-398.17546,-399.37262,-399.37262,-398.8117065
1.5,-398.61134,-398.61134,-398.67313,-398.67313,-399.39477,-399.39477,-398.8361195
1.4,-398.62526,-398.62526,-398.69102,-398.69102,-399.40819,-399.40819,-398.8516987
1.3,-398.62384,-398.62384,-398.69271,-398.69271,-399.40629,-399.40629,-398.8515283
1.2,-398.59644,-398.59644,-398.6675,-398.6675,-399.37857,-399.37857,-398.8248118
1.1,-398.52608,-398.52608,-398.59865,-398.59865,-399.30859,-399.30859,-398.7548038
1,-398.38597,-398.38597,-398.4601,-398.4601,-399.17064,-399.17064,-398.6155077
